,state,min,max
2018-09-04 15:43:41.989945,58.0,40.0,70.0
2018-09-04 15:43:43.092055,58.0,40.0,70.0
2018-09-04 15:43:44.098156,58.0,40.0,70.0
2018-09-04 15:43:45.191265,58.0,40.0,70.0
2018-09-04 15:43:46.191365,58.0,40.0,70.0
2018-09-04 15:43:50.904836,58.0,40.0,70.0
2018-09-04 15:47:16.908434,58.0,40.0,70.0
2018-09-04 15:47:17.900534,58.0,40.0,70.0
2018-09-04 15:47:18.901634,58.0,40.0,70.0
2018-09-04 15:47:19.951739,58.0,40.0,70.0
2018-09-04 15:47:20.950839,58.0,40.0,70.0
2018-09-04 15:47:21.998943,58.0,40.0,70.0
2018-09-04 15:47:22.900034,58.0,40.0,70.0
2018-09-04 15:47:27.200464,58.0,40.0,70.0
2018-09-04 15:47:28.108554,58.0,40.0,70.0
2018-09-04 15:47:29.150659,58.0,40.0,70.0
2018-09-04 15:47:30.060750,58.0,40.0,70.0
2018-09-04 15:47:31.051849,58.0,40.0,70.0
2018-09-04 15:47:32.057949,58.0,40.0,70.0
2018-09-04 15:47:33.101054,58.0,40.0,70.0
2018-09-04 15:47:37.401484,58.0,40.0,70.0
2018-09-04 15:47:38.310574,58.0,40.0,70.0
2018-09-04 15:47:39.351679,58.0,40.0,70.0
2018-09-04 15:47:40.359779,58.0,40.0,70.0
2018-09-04 15:47:41.451889,58.0,40.0,70.0
2018-09-04 15:47:42.500993,58.0,40.0,70.0
2018-09-04 15:47:43.502094,58.0,40.0,70.0
2018-09-04 15:47:47.701513,58.0,40.0,70.0
2018-09-04 15:47:48.702614,58.0,40.0,70.0
2018-09-04 15:47:49.752719,58.0,40.0,70.0
2018-09-04 15:47:50.752819,58.0,40.0,70.0
2018-09-04 15:47:51.752919,58.0,40.0,70.0
2018-09-04 15:47:52.802023,58.0,40.0,70.0
2018-09-04 15:47:53.801123,58.0,40.0,70.0
2018-09-04 15:47:58.101553,58.0,40.0,70.0
2018-09-04 15:47:59.052648,58.0,40.0,70.0
2018-09-04 15:48:00.052748,58.0,40.0,70.0
2018-09-04 15:48:01.052848,58.0,40.0,70.0
2018-09-04 15:48:02.051948,58.0,40.0,70.0
2018-09-04 15:48:03.053048,58.0,40.0,70.0
2018-09-04 15:48:04.102153,58.0,40.0,70.0
2018-09-04 15:48:08.452588,58.0,40.0,70.0
2018-09-04 15:48:09.452688,58.0,40.0,70.0
2018-09-04 15:48:10.402783,58.0,40.0,70.0
2018-09-04 15:48:11.452888,58.0,40.0,70.0
2018-09-04 15:48:12.501993,58.0,40.0,70.0
2018-09-04 15:48:13.553098,58.0,40.0,70.0
2018-09-04 15:48:14.552198,58.0,40.0,70.0
2018-09-04 15:48:18.852628,58.0,40.0,70.0
2018-09-04 15:48:19.901733,58.0,40.0,70.0
2018-09-04 15:48:20.811824,58.0,40.0,70.0
2018-09-04 15:48:21.803923,58.0,40.0,70.0
2018-09-04 15:48:22.804023,58.0,40.0,70.0
2018-09-04 15:48:23.804123,58.0,40.0,70.0
2018-09-04 15:48:24.853228,58.0,40.0,70.0
2018-09-04 15:48:28.731616,58.0,40.0,70.0
2018-09-04 15:50:40.858827,58.0,40.0,70.0
2018-09-04 15:50:41.909933,58.0,40.0,70.0
2018-09-04 15:50:42.959037,58.0,40.0,70.0
2018-09-04 15:50:43.909132,58.0,40.0,70.0
2018-09-04 15:50:44.960238,58.0,40.0,70.0
2018-09-04 15:50:45.961338,58.0,40.0,70.0
2018-09-04 15:50:47.009442,58.0,40.0,70.0
2018-09-04 15:50:51.308872,58.0,40.0,70.0
2018-09-04 15:50:52.308972,58.0,40.0,70.0
2018-09-04 15:50:53.260067,58.0,40.0,70.0
2018-09-04 15:50:54.259167,58.0,40.0,70.0
2018-09-04 15:50:55.309272,58.0,40.0,70.0
2018-09-04 15:50:56.359377,58.0,40.0,70.0
2018-09-04 15:50:57.355477,58.0,40.0,70.0
2018-09-04 15:51:01.610902,58.0,40.0,70.0
2018-09-04 15:51:02.610002,58.0,40.0,70.0
2018-09-04 15:51:03.660107,58.0,40.0,70.0
2018-09-04 15:51:04.756217,58.0,40.0,70.0
2018-09-04 15:51:05.760317,58.0,40.0,70.0
2018-09-04 15:51:06.764418,58.0,40.0,70.0
2018-09-04 15:51:07.760517,58.0,40.0,70.0
2018-09-04 15:51:12.115953,58.0,40.0,70.0
2018-09-04 15:51:13.110052,58.0,40.0,70.0
2018-09-04 15:51:14.113153,58.0,40.0,70.0
2018-09-04 15:51:15.161257,58.0,40.0,70.0
2018-09-04 15:51:16.161357,58.0,40.0,70.0
2018-09-04 15:51:17.211462,58.0,40.0,70.0
2018-09-04 15:51:18.261567,58.0,40.0,70.0
2018-09-04 15:51:22.561997,58.0,40.0,70.0
2018-09-04 15:51:23.612102,58.0,40.0,70.0
2018-09-04 15:51:24.611202,58.0,40.0,70.0
2018-09-04 15:51:25.661307,58.0,40.0,70.0
2018-09-04 15:51:26.560397,58.0,40.0,70.0
2018-09-04 15:51:27.460487,58.0,40.0,70.0
2018-09-04 15:51:28.411582,58.0,40.0,70.0
2018-09-04 15:51:32.615003,58.0,40.0,70.0
2018-09-04 15:51:33.661107,58.0,40.0,70.0
2018-09-04 15:51:34.712212,58.0,40.0,70.0
2018-09-04 15:51:35.761317,58.0,40.0,70.0
2018-09-04 15:51:36.762417,58.0,40.0,70.0
2018-09-04 15:51:37.761517,58.0,40.0,70.0
2018-09-04 15:51:38.811622,58.0,40.0,70.0
2018-09-04 15:51:43.065047,58.0,40.0,70.0
2018-09-04 15:51:44.111152,58.0,40.0,70.0
