,state,min,max
2018-08-17 10:27:55.383340,-59.0,-63.0,-57.0
2018-08-17 10:27:55.537355,-59.0,-63.0,-57.0
2018-08-17 10:27:55.542356,-59.0,-63.0,-57.0
2018-08-17 10:27:55.701372,-59.0,-63.0,-57.0
2018-08-17 10:27:55.707372,-59.0,-63.0,-57.0
2018-08-17 10:27:55.862388,-59.0,-63.0,-57.0
2018-08-17 10:27:55.869389,-59.0,-63.0,-57.0
2018-08-17 10:27:56.026404,-59.0,-63.0,-57.0
2018-08-17 10:27:56.030405,-59.0,-63.0,-57.0
2018-08-17 10:27:56.183420,-59.0,-63.0,-57.0
2018-08-17 10:27:56.190421,-59.0,-63.0,-57.0
2018-08-17 10:27:56.351437,-59.0,-63.0,-57.0
2018-08-17 10:27:56.358438,-59.0,-63.0,-57.0
2018-08-17 10:27:56.515453,-59.0,-63.0,-57.0
2018-08-17 10:27:56.520454,-59.0,-63.0,-57.0
2018-08-17 10:27:56.677469,-59.0,-63.0,-57.0
2018-08-17 10:27:56.682470,-59.0,-63.0,-57.0
2018-08-17 10:27:56.843486,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:56.849487,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.020504,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.025504,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.182520,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.187520,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.349537,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.354537,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.510553,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.517553,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.674569,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.679570,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.834585,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.838586,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.990601,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:57.995601,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:58.156617,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:58.162618,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:58.324634,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:58.331635,-58.333333333333336,-63.0,-57.0
2018-08-17 10:27:58.495651,-57.666666666666664,-63.0,-57.0
2018-08-17 10:27:58.502652,-57.666666666666664,-63.0,-57.0
